1 4	1 Abortus
3850 1	3947 "Formentlig kronisk nyresygdom"
3851 3	3948 "Kronisk leddegigt"
3852 2	3949 "Phlebothrombosis (Phlebothrombose)"
3853 1	3950 "Rheumatismus deformans chron."
3854 1	3951 "Svækkelse efter kighoste"
3855 1	3952 "Absces under tungen"
3856 1	3953 "Betændelse i næsen"
3857 1	3954 "Bronchitis universalis capillaris"
3858 1	3955 "Forsnævring af endetarm"
3859 2	3956 "Haematemesis uterina"
3860 1	3957 "Kronisk sygdom i pulsårerne"
3861 1	3958 "Kræft i moderskeden"
3862 2	3959 "Pyelitis duplex"
3863 1	3960 "Suppurativ ledbetændelse"
3864 1	3961 Overtelegrafassistent
3865 1	3966 Renovationsmand
3866 1	3970 Landslagter
3867 1	3971 Skuespildirektør
3868 1	3973 Typografsvend
3869 1	3974 "Overlader "
3870 1	3978 "Akut forvirring"
3871 3	3979 "Akut pneumoni"
3872 1	3980 "Amentia hallucinatoria"
3873 1	3981 "Anthrax capitis"
3874 1	3982 "Anæmi efter fald"
3875 1	3983 "Appendicitis c. absces."
3876 1	3984 "Asphyxia post partum"
3877 1	3985 Blødning
3878 1	3986 "Bronchitis duplex"
3879 1	3987 "Bronchopneumonia pulm."
3880 1	3988 "Bronchopneumonia variae laryngis"
3881 1	3989 "Brud af bækkenet med blødning i blæren"
3882 2	3990 "Bughindebetændelse udgået fra et sår gennem endetarmen"
3883 1	3991 "Cancer duodeni et hepatis"
3884 1	3992 "Cancer i halsregionen (Kræft i halsregionen)"
3885 1	3993 "Carcinoma coli"
3886 2	3994 "Carcinoma thoracis"
3887 1	3995 "Caries costae"
3888 1	3996 "Colica hepatica"
3889 1	3997 "Corpus alienum laryngis"
3890 1	3998 Cystoma
3891 2	3999 "Dannelsesfejl i tarmkanalen"
3892 1	4000 "Debilitas infantilis"
3893 1	4001 "Degeneratio cordis post pneumonia croup."
3894 1	4002 "Død under hosteanfald"
3895 1	4003 Enteralgi
3896 2	4004 "Enteritis catarrhalis (Enteritis cat.)"
3897 1	4005 "Enteritis chron. (tuberkuløs?)"
3898 0	4006 "Entrerocolitis ulcerativa follicularis"
3899 1	4007 "Erysipelas extr. inf. sin."
3900 1	4008 "Erysipelas femoris"
3901 1	4009 "Fald på isen"
3902 1	4010 "Febrilia acuta"
3903 1	4011 "Fjernelse af en svulst"
3904 1	4012 "Formentlig diarré"
3905 1	4013 "Frygt for straf"
3906 1	4014 "Gangraena cruris et pedis utriusque"
3907 1	4015 "Gangraena extrem. sin"
3908 1	4016 "Gastro-typhoid feber"
3909 1	4017 "Gummata cerebri"
3910 1	4018 "Hallucinatorisk forvirring"
3911 1	4019 "Hernia cruralis dext. incarcerata
3912 1	4020 Hudbetændelse
3913 1	4021 Hydroencephaloid
3914 1	4022 "Hydronephrosis duplex"
3915 1	4023 "Hydrops ex ignota causa ortus"
3916 2	4024 "Hængning i ophidset sindsstemning"
3917 1	4025 "Kronisk hjerne- og rygmarvssygdom"
3918 1	4026 "Kronisk lever- og nyresygdom"
3919 2	4027 "Kronisk urinvejslidelse"
3920 2	4028 "Kræft i livmoderhalsen"
3921 1	4029 "Kræft i tarmkanalen"
3922 1	4030 "Kræftknude i livmoderen"
3923 1	4031 "Lungesarkom (Lungesarcoma)"
3924 1	4032 "Meningitis chron."
3925 1	4033 "Metrorrhagia in puerperio"
3926 1	4034 "Morbus cordis et hepatis"
3927 1	4035 "Morbus hepatis chron."
3928 1	4036 "Morbus senilis"
3929 2	4037 "Myelitis luetica"
3930 1	4038 "Myelitis transversa (Myelitis transversalis)"
3931 1	4039 "Navlestrengen om halsen"
3932 5	4040 "Nephritis acuta in chron."
3933 1	4041 "Nephrocystitis c. lithiis"
3934 1	4042 Nyregrus
3935 1	4043 "Obstructio alvi"
3936 2	4044 "Oedema pulmonum duplex"
3937 1	4045 "Osteitis purulenta"
3938 1	4046 "Osteosarcoma femoris"
3939 1	4047 "Otitis media acuta supp. dupl."
3940 2	4048 "Otitis media suppurativa chron. sin."
3941 1	4049 "Overrivning af urinrøret"
3942 1	4050 "Paralysis extremitatum"
3943 1	4051 "Paralysis spinalis infantilis"
3944 1	4052 "Parametritis dext."
3945 1	4053 "Peritonitis post herniotomiam"
3946 1	4054 "Pludselig død i rekonvalescens efter influenza"
3947 1	4055 "Pneumonia crouposa pulm. dext."
3948 2	4056 "Pneumonia inf. sin."
3949 1	4057 "Pneumonia tub. dext."
3950 1	4058 "Pyopneumothorax sin."
3951 1	4059 "Ruptura intestini"
3952 1	4060 "Ruptura pulmon. dext."
3953 1	4061 "Sarcoma renis et ossis ilii"
3954 1	4062 Sclerema
3955 1	4063 "Sclerosis cordis"
3956 1	4064 Selvbebrejdelse
3957 1	4065 "Sepsis et pneumonia post sectionem caesaream (Kejsersnit)"
3958 1	4066 "Septikæmi efter operation"
3959 2	4067 "Sequelae fracturae columnae"
3960 1	4068 "Sequelae haematocele periuterina"
3961 0	4069 "Sequelae pneumoniae catarrhalis"
3962 0	4070 "Sequelae tetani neonatorum"
3963 0	4071 Skråleje
3964 0	4072 "Striktur af tarmen"
3965 0	4073 "Thrombosis venae iliacae"
3966 0	4074 "Thrombosis venae femoralis"
3967 0	4075 "Tiltagende blodmangel og afkræftelse"
3968 0	4076 Tympanitis
3969 0	4077 "Ulcus duodeni cum haemorrhagia"
3970 0	4078 "Ulcus oesophagi et ventriculi"
3971 0	4079 "Universel carcinose"
3972 0	4082 "Contusio pectoris"
3973 0	4084 "Atrophia acuta"
3974 0	4085 Benhindebetændelse
3975 0	4086 "Bronchopneumonia morbillosa"
3976 0	4087 "Cancer vesicae urinariae et recti"
3977 0	4088 "Cystopyelonephritis purulenta"
3978 1	4089 Dilatatio
3979 1	4090 Emphysemata
3980 1	4091 "Forfrysning? (Måske forfrysning)"
3981 1	4092 "Formentlig enterokatar"
3982 1	4093 "Fractura complicata extrem. inf."
3983 1	4094 "Gangraena thoracis"
3984 1	4095 "Gastro-intestinalia acuta"
3985 2	4096 "Gastroenteritis subacuta post tussis convulsiva"
3986 2	4097 "Haemorrhagia recti"
3987 4	4098 "Haemorrhagia pontis"
3988 1	4099 "Hypertrophia thymi cum compressione tracheae"
3989 1	4100 "Inflammatio vesicae"
3990 1	4101 "Intussusceptio coli"
3991 1	4102 "Koldbrand af tarmen"
3992 1	4103 "Kronisk hoftesygdom"
3993 2	4104 "Kronisk ledde-rheumatisme"
3994 1	4105 "Kræft i prostata (Prostatakræft)"
3995 1	4106 "Laryngitis gravis post morbilli"
3996 1	4107 "Morbus chr. ventriculi"
3997 1	4108 "Morbus mentalis senilis"
3998 1	4109 "Morbus nervi sympathici"
3999 1	4110 "Mors subitanea i Mb. cordis"
4000 1	4111 Myelo-encephalopathia
4001 1	4112 "Obstipatio chron."
4002 1	4113 "Paralysis cordis senilis"
4003 1	4114 "Pemphigus malignus"
4004 4	4115 "Peritonitis universalis ex appenditicide"
4005 4	4116 "Pityriasis rubra"
4006 1	4117 "Pneumonia catarrhalis in tussi convulsiva"
4007 1	4118 "Proctitis chronica (Proktitis chron.)"
4008 1	4119 Pseudobulbærparalyse
4009 1	4120 "Pseudomyxoma ovarii et peritonei"
4010 2	4121 "Pulmonia in rachitide"
4011 1	4122 "Pyaemia gonorrhoica"
4012 2	4123 "Påkørt af en omnibus"
4013 3	4124 "Rachitis gravis"
4014 1	4125 "Rheumatismus articularis febrilis"
4015 1	4126 "Ruptura pyosalpingitis"
4016 1	4127 "Sarcoma tibiae"
4017 1	4128 "Sår i panden"
4018 1	4129 Tentamen
4019 1	4130 "Tuberculosis pulmonum et hepatis et renum et intestin."
4020 1	4131 Urinblæresygdom
4021 1	4132 Brachycardia
4022 1	4133 "Caries ossium extremitatum inferiorum"
4023 1	4134 "Debilitas post partum praematurum"
4024 1	4135 "Fatuitas senilis"
4025 2	4136 Fedthjerte
4026 1	4137 "Formentlig fordøjelsesanomali"
4027 1	4138 "Fremadskridende muskelatrofi"
4028 1	4139 "Hernia scrotalis"
4029 3	4140 "Kronisk nervesygdom"
4030 1	4141 "Kronisk sygdom"
4031 1	4142 "Marasmus chron."
4032 1	4143 Nervelidelse
4033 2	4144 "Paralysis intestini"
4034 0	4145 "Pert. chr. (Pertussis? chron.)"
4035 2	4146 "Phlegmone capitis"
4036 2	4147 "Phthisis pulmonum et laryngis et intestini"
4037 1	4148 "Pneumonia catarrhalis sin."
4038 2	4149 "Rosen på hovedet"
4039 1	4150 "Sarcoma cruris"
4040 1	4151 Tracheitis
4041 2	4152 "Tracheitis febrilis"
4042 1	4153 "Tuberculosis vertebrae dorsalis VII & VIII"
4043 1	4154 "Abscessus cruris"
4044 1	4155 "Addisons sygdom (Bronzesygdom)"
4045 1	4156 "Afkræftelse ved næseblødning"
4046 1	4157 "Akut brysttilfælde"
4047 1	4158 "Akut miliær lungetuberkulose"
4048 1	4159 "Arthritis humeri sin."
4049 1	4160 "Blødning i hjernen"
4050 1	4161 "Blåsyreforgiftning (Forgiftning ved blåsyre)"
4051 1	4162 "Bronchitis diffusa (Bronchitis diff.)"
4052 1	4163 "Brud af skinneben"
4053 1	4164 Brystinflammation
4054 1	4165 "Cancer abdominis universalis"
4055 2	4166 "Caries columnae"
4056 2	4167 "Colitis acuta"
4057 1	4168 "Cystitis ulcerosa"
4058 1	4169 "Dentitionsbesværligheder (Dentitionsforstyrrelse)"
4059 1	4170 "Dobbelt hareskår og ganespalte"
4060 1	4171 "Død post apnø"
4061 1	4172 Elevatorulykke
4062 3	4173 "Embolia post partum"
4063 2	4174 Embolia?
4064 1	4175 "Exstirpatio (Eksstirpation)"
4065 1	4176 "Forblødning fra varice på skinnebenet"
4066 1	4177 "Formentlig indvendig blødning"
4067 1	4178 "Fractura urethrae"
4068 1	4179 "Født uden livstegn"
4069 2	4180 "Gangrænøst sår på hånden"
4070 1	4181 "Gastritis acuta"
4071 1	4182 "Graviditas tubaria rupta"
4072 1	4183 "Hernia cruralis gangraenosa"
4073 1	4184 Hjernefeber
4074 1	4185 Hydropneumothorax
4075 1	4186 "Icterus in graviditate"
4076 1	4187 "Indenlandsk kolera"
4077 1	4188 "Infarctus cerebri"
4078 1	4189 "Krampe under lungebetændelse"
4079 1	4190 "Kronisk blodforgiftning"
4080 0	4191 "Kronisk leverbetændelse"
4081 0	4192 "Kronisk lungesygdom"
4082 3	4193 "Kvæstelse af brystkassen og lungerne"
4083 0	4194 "Langvarig sygdom (vedvarende sygdom)"
4084 2	4195 "Lunge- og tarmtuberkulose"
4085 1	4196 "Marasmus in depressione"
4086 1	4197 "Meningitis cerebrospinalis vetus"
4087 1	4198 "Meningitis spinalis acuta"
4088 2	4199 "Mors subitanea in stenocardia"
4089 1	4200 "Oedema pulmonum in puerperio"
4090 2	4201 Omphalitis
4091 1	4202 "Ondartet kirtelsyge"
4092 1	4203 "Ondartet sårfeber"
4093 1	4204 "Osteitis tuberculosa pelvis"
4094 1	4205 "Osteomyelitis cranii"
4095 5	4206 "Paralysis ascendens acuta"
4096 1	4207 "Phlegmone cutis"
4097 1	4208 "Pneumonia dext. totalis"
4098 1	4209 "Pneumonia migrans"
4099 1	4210 "Poliomyelitis acuta"
4100 1	4211 "Sarcoma faucium et colli"
4101 1	4212 "Stasis hepatis et lienis et renum"
4102 1	4213 "Strictura intestinalis cancrosa"
4103 1	4214 "Svulst i struben"
4104 2	4215 "Tetanus post fracturam complicat. hallucis"
4105 1	4216 "Tuberkuløs hoftebetændelse"
4106 1	4217 "Tumor linguae"
4107 1	4218 "Tumor regionis cervicalis"
4108 2	4219 "Ulcus et cancer ventriculi"
4109 1	4220 "Ulcus gangraenosum"
4110 2	4221 "Saltsyreforgiftning (Forgiftning ved saltsyre)"
4111 2	4222 "Angina pseudomembranacea"
4112 1	4223 "Bristning af en tarm som følge af stød i underlivet"
4113 1	4224 "Brud af bækken og skinneben"
4114 1	4225 "Cancer mammae ulceratus"
4115 1	4226 Cystosarcoma
4116 1	4227 "Empyema dext."
4117 1	4228 "Fractura complicata humeri"
4118 1	4229 "Følger af hjerneblødning"
4119 1	4230 "Følger af koldbrand i benet"
4120 1	4231 "Gangraena pedis dext."
4121 1	4232 "Hjerte- og nyresygdom"
4122 1	4233 "Hofteleds- og lårbensbetændelse"
4123 1	4234 "Koldbrand i armen"
4124 2	4235 "Kronisk betændelse i urinorganet"
4125 1	4236 "Kronisk sindssygdom"
4126 1	4237 "Kronisk tarmlidelse"
4127 1	4238 "Malaria chron."
4128 1	4239 "Phthisis chron."
4129 1	4240 "Pneumonia hypostatica sin."
4130 1	4241 "Pyaemia e ostitide maxillae"
4131 1	4242 "Sarcoma columnae dorsalis"
4132 1	4243 "Tuberculosis renum et vesicae urinariae"
4133 1	4244 "Ulcus gangraenosum cruris"
4134 1	4245 "Ulykkelige forhold"
4135 1	4246 "Absces i underlivet"
4136 1	4247 "Abscessus multiplex"
4137 1	4248 "Adynamia (Adynami)"
4138 1	4249 "Arteriosclerosis chron."
4139 1	4250 "Benedder i rygraden"
4140 2	4251 Brokoperation
4141 3	4252 "Bronchopneumonia in influenza"
4142 1	4253 "Bronchopneumonia totalis"
4143 1	4254 "Cancer gelatinosus ventr."
4144 2	4255 "Cancer urethrae et ventriculi et renis"
4145 1	4256 "Carcinoma colli"
4146 3	4257 "Cerebralia chron."
4147 1	4258 "Chorea gravidarum"
4148 1	4259 "Cystitis acuta in chron."
4149 1	4260 "Død under badning"
4150 1	4261 "Fremmedlegeme i spiserøret"
4151 2	4262 "Gangræn af underekstremitet"
4152 1	4263 "Haemorrhagia meningea cerebri"
4153 1	4264 "Kirtelsyge med krampe"
4154 1	4265 "Kræft i lårbenet"
4155 1	4266 "Kvælning ved kulgas"
4156 1	4267 "Lamhed i underlivet"
4157 1	4268 "Mangeårig hjerne- og rygmarvslidelse"
4158 1	4269 "Mave- og underlivsbetændelse"
4159 1	4270 "Meningitis puerperalis"
4160 2	4271 "Mors subitanea in alcoholismo chron."
4161 1	4272 "Osteitis maxillae (Ostitis maxillae)"
4162 2	4273 "Phthisis vetus"
4163 0	4274 "Pludselig død under søvn"
4164 2	4275 Respirationsparalyse
4165 1	4276 "Sequelae partus I prolongatus"
4166 2	4277 "Tuberkuløs hoftelidelse"
4167 1	4278 "Vulnus contusum pedis"
4168 1	4280 "Adenitis suppurativa"
4169 3	4281 "Anaemia post abortum"
4170 2	4282 "Biliøse tilfælde"
4171 1	4283 Blodfattigdom
4172 2	4284 Blodpropdannelse
4173 1	4285 "Blodstyrtning fra lungerne"
4174 2	4286 "Brud af hovedets ben"
4175 1	4287 "Cancer abdominis et cerebri"
4176 1	4288 "Cancer duodeni"
4177 1	4289 "Cancer organorum variorum"
4178 1	4290 "Cancer ossium"
4179 1	4291 "Carbunculus genus"
4180 1	4292 "Carcinoma glandularum"
4181 1	4293 "Convulsiones in bronchopneumonia"
4182 1	4294 "Cystis colli congenita"
4183 1	4295 "Degeneratio cancrosa recti"
4184 1	4296 "Delirium in pneumonia"
4185 1	4297 "Dilatatio oesophagi"
4186 1	4298 Echinococci
4187 1	4299 "Eclampsia in tussi convulsiva"
4188 1	4300 "Embolia cordis et pulmonum"
4189 1	4301 "Emphysema dextrum"
4190 1	4302 "Endocarditis vernicosa"
4191 2	4303 "Epileptiske kramper"
4192 4	4304 "Fistula recto-vesicae"
4193 1	4305 "Forgiftning med kobberilte"
4194 1	4306 "Formentlig febris acuta"
4195 1	4307 "Formentlig lungesot"
4196 0	4308 "Født uden jordemoderens eller lægens hjælp"
4197 1	4309 "Følger af apopleksi"
4198 1	4310 "Gangraena incipiens pedum"
4199 1	4311 Gastrobrosis
4200 1	4312 Glossitis
4201 1	4313 "Hektik efter forblødning"
4202 2	4314 "Influenza med lungebetændelse"
4203 1	4315 "Kraniotabes (Craniotabes)"
4204 1	4316 "Kronisk lunge- og mavebetændelse"
4205 1	4317 "Langvarig og besværlig fødsel"
4206 1	4318 "Malign degeneration"
4207 1	4319 "Mangelfuld udvikling af lungerne"
4208 2	4320 "Mave- og tarmbetændelse"
4209 1	4321 Misfoster
4210 1	4322 "Otitis media supp. sin."
4211 2	4323 "Peritonitis purulenta universalis ex abortu
4212 1	4324 "Phlegmone manus dext."
4213 1	4325 "Phthisis meseraica"
4214 1	4326 Polypus
4215 1	4327 "Primær akut børneparalyse"
4216 1	4328 "Sarcoma costarum"
4217 1	4329 "Sarcoma glandularum"
4218 1	4330 "Sprængning af kraniet, underkæben og kinderne"
4219 1	4331 "Stenosis intestinalis congenita"
4220 2	4332 "Thrombosis venae cavae infer.
4221 2	4333 "Tuberculosis glandulae bronchialis et pulmon."
4222 1	4334 "Tumor fibrocysticus uteri"
4223 1	4335 "Tumor mediastini anterior."
4224 1	4336 "Tumor pancreatis"
4225 1	4337 "Tumor pelvis"
4226 1	4338 Venenum
4227 1	4339 "Vitia innata"
4228 1	4340 "Vitium cordis in neonatorum"
4229 1	4341 Åndedrætsbesvær
4230 1	4345 "Peritonitis purulenta universalis ex abortu"
4231 1	4356 "Thrombosis venae cavae infer."
4232 3	4357 "Arthritis humeri"
4233 0	4358 "Ataxia progression"
4234 1	4359 "Endarteritis universalis"
4235 1	4360 "Perforerende mavesår"
4236 2	4361 "Arteriosclerosis diffusa"
4237 1	4362 "Betændelse i rygmarvshinden"
4238 1	4363 "Blødning i efterbyrdsperioden"
4239 3	4364 "Cancer maxillae sup. et inf."
4240 1	4365 "Catarrhus vesicae chron."
4241 1	4366 "Cystitis urinaria"
4242 1	4367 "Decubitus gangraenosus post appendicitis"
4243 1	4368 "Erysipelas pedis et cruris"
4244 2	4369 Fedtsot
4245 1	4370 "Gangraena senilis ped. dext."
4246 1	4371 "Kontusion af hjernen"
4247 1	4372 "Kræft i lever og milt"
4248 3	4373 "Otitis suppurativa"
4249 1	4374 "Phlegmone faciei"
4250 2	4375 "Tuberculosis miliaris acuta post morbilli"
4251 1	4376 "Tuberkuløs hofteleds- og lårbensbetændelse"
4252 1	4377 "Begyndende gangræn i foden"
4253 1	4378 "Betændelse i urinvejene"
4254 1	4379 "Bronchopneumonia post absces"
4255 1	4380 "Cancer coeci"
4256 1	4381 "Cancer mammae et cerebri"
4257 2	4382 "Cancer mammae et pleurae et pulmonum"
4258 2	4383 "Cancer peritonei universalis ex cancer ventriculi"
4259 1	4384 "Carcinoma intestini crassi"
4260 1	4385 "Carcinoma laryngis"
4261 1	4386 "Collapsus e ulcere ventriculi"
4262 1	4387 "Contusio columnae"
4263 1	4388 "Embolia art. pulm. e phlebitide femoralis"
4264 1	4389 "Embolia art. pulm. post laparotomiam"
4265 1	4390 Emollicarditis
4266 1	4391 "Epithelioma regionis sacralis"
4267 1	4392 "Erysipelas pedis"
4268 1	4393 "Erysipelas universalis"
4269 1	4394 "Febris cephalica"
4270 1	4395 "Formentlig aspiration af væsker"
4271 1	4396 "Formentlig hedeslag"
4272 1	4397 "Formentlig senilitas"
4273 1	4398 "Forsnævring af spiserøret"
4274 1	4399 "Fractura comminuta et complicata"
4275 1	4400 "Furunculi faciei"
4276 1	4401 "Gangraena digit. pedis"
4277 1	4402 "Haematemesis in puerperio"
4278 1	4403 "Ileotyfus (Ileotyphus)"
4279 0	4404 Inflammation
4280 1	4405 "Kronisk betændelse i knæleddet"
4281 1	4406 "Kronisk enterokatar (Chr. Enterocatarrh)"
4282 1	4407 "Kræft i rygraden"
4283 1	4408 Laryngismus
4284 1	4409 Leverforstoppelse
4285 1	4410 "Lungetuberkler (Lungetuberculer)"
4286 1	4411 "Lymphosarcomatosis universalis"
4287 1	4413 "Milt- og leversygdom"
4288 2	4414 "Morbus pectoralis"
4289 2	4415 "Paralysis cordis i kloroformnarkose"
4290 1	4416 "Peliosis rheumatica"
4291 1	4417 "Phlegmone abdominis"
4292 1	4418 "Pyelitis suppurativa"
4293 1	4419 "Rheumatismus febrilis"
4294 1	4420 "Sarcoma brachii"
4295 1	4421 "Sarcoma faciei"
4296 1	4422 "Sarcoma ossis femoris"
4297 1	4423 "Sarcoma testis et abdominis"
4298 1	4424 "Sarcoma universalis"
4299 1	4425 "Sequelae fistulae stercoralis"
4300 1	4426 "Svulst i svælget"
4301 1	4427 "Tarmparese post laparotomiam"
4302 2	4428 "Ulcera cruris"
4303 1	4429 "Underlig sygdom"
4304 1	4430 "Uraemia chron."
4305 1	4431 "Vulnus contusum genus"
4306 1	4432 "Fractura complicata pelvis cum prolapsu organ. abdominal."
4307 1	4433 Hydromeningitis
4308 1	4434 "Legemlig sygdom"
4309 4	4435 "Peritonitis totalis"
4310 1	4436 "Abscessus nasopharyngis"
4311 1	4437 Aneurismedannelse
4312 1	4438 "Aneurysma aortae descend."
4313 1	4439 "Arteriosclerosis af hjertets pulsåre(r)"
4314 1	4440 "Atresia duodeni congenita"
4315 1	4441 "Atrophia cornuum posteriorum medullae spinalis"
4316 1	4442 "Atrophia cum spasmis"
4317 6	4443 "Blødning efter fødslen"
4318 1	4444 "Blødning under fødsel (barn)"
4319 1	4445 "Bronchitis capillaris purulenta"
4320 1	4446 "Bronchopneumonia pulm. utriusque"
4321 4	4447 "Cancer glandulae thyreoideae et hepatis"
4322 1	4448 "Cancer labiorum minorum"
4323 1	4449 "Cancer penis"
4324 2	4450 "Cancer sterni"
4325 2	4451 "Cancer vulvae et parietis abdominalis"
4326 1	4452 Cystis
4327 1	4453 "Degeneratio amyloides lienis et renum"
4328 1	4454 "Empyem i galdeblæren"
4329 1	4455 "Endocarditis ulcerosa acuta"
4330 1	4456 "Enteritis ulcerativa e peritonitide "
4331 1	4457 "Epithelioma permagnum capitis"
4332 0	4458 "Fistula stercoralis"
4333 1	4459 "Formentlig forgiftning"
4334 1	4460 "Formentlig tarmkatar og kighoste"
4335 1	4461 "Formentlig tracheobronchitis og catarrh. ventriculi"
4336 1	4462 "Gastrocatarrhus (Gastro cat.)"
4337 2	4463 "Haemorrhagia in atrophia infantilis"
4338 1	4464 "Ileus e cancro coli desc."
4339 1	4465 "Ileus ex volvulo"
4340 1	4466 "Infarctus cerebri et lienis"
4341 1	4467 Krampe?
4342 0	4468 "Kronisk hjerte- og nyresygdom"
4343 0	4469 "Kronisk nervesvækkelse"
4344 0	4470 "Kronisk rygmarvsaffektion"
4345 0	4471 Kræft?
4346 0	4472 "Kræft i flere organer"
4347 0	4473 "Kræft i maven og underlivet"
4348 0	4474 "Meningitis post empyema pulm."
4349 0	4475 "Morbilli cum pneumonia"
4350 0	4476 "Morbus internus"
4351 0	4477 "Ondartet svulst i låret"
4352 0	4478 "Operation for tumor ovarii"
4353 0	4479 "Osteitis nasi (Ostitis nasi)"
4354 0	4480 "Paralysis spinalis spastica"
4355 0	4481 "Pneumonia lobularis sup. sin."
4356 1	4482 "Sarcoma ossis ilei"
4357 1	4483 "Sygdom hos moderen"
4358 1	4484 "Tuberculosis genus et manus"
4359 1	4485 "Tuberculosis hepatis "
4360 1	4486 "Tuberculosis peritonealis et pulmonum"
4361 1	4487 "Tumor cancrosus renis sin. c. metastase renis"
4362 1	4488 "Tumor cysticus"
4363 1	4489 "Tumor gangraenosus"
4364 1	4490 "Tumor int. abdominis"
4365 1	4491 Underlivsblødning
4366 1	4492 "Vand i hovedet"
4367 1	4493 "Veneficium acidi"
4368 1	4494 "Vulnus incisum"
4369 1	4495 "Ætsning med svovlsyre"
4370 1	4496 "Abortus provocatus"
4371 1	4497 "Absces i overarmen"
4372 1	4498 "Abscessus ad orbitam"
4373 1	4499 "Abscessus femoris subcutaneus"
4374 1	4500 "Anaemia perniciosa progressiva"
4375 1	4501 Blodhoste
4376 1	4502 "Dermatitis exfoliativa"
4377 1	4503 "Emboli i lunge og lever"
4378 1	4504 "Endarteritis aortae et art. coron."
4379 1	4505 "Ichorrhaemia (Ichoræmi)    "
4380 1	4506 "Ichorrhaemia ex placentitide ??"
4381 1	4507 "Indvendig brud af kraniet"
4382 1	4508 "Osteomyelitis acuta"
4383 1	4509 Placentitis
4384 1	4510 "Ruptura vasorum ?? myomatis subserosi uteri"
4385 1	4511 "Scarlatina med stor halssvulst"
4386 1	4512 "Sine medico"
4387 1	4513 "Tuberkulose af lunger, strube og tarmkanal"
4388 1	4514 "Tuberkuløs hvirvelsøjlebetændelse"
4389 1	4516 "Abscessus lumborum"
4390 1	4517 Bindevævsbetændelse
4391 1	4518 "Bronchopneumonia in arthritide"
4392 1	4519 "Byld i låret"
4393 1	4520 "Cancer en cuirasse"
4394 1	4521 Drankerfeber
4395 1	4522 "Dysenteria catarrhalis"
4396 1	4523 "Erysipelas phlegmonosa"
4397 1	4524 Exploratio
4398 2	4525 "Fractura cranii cum contusione cerebri"
4399 1	4526 "Følger af difteri"
4400 1	4527 "Gastritis phlegmon."
4401 1	4528 "Kræft i tungen"
4402 1	4529 "Mania potatorum"
4403 1	4530 "Morbus cordis mitralis et aortae"
4404 1	4531 "Nephritis amyloidea"
4405 1	4532 "Osteoporose af lændehvirvlerne"
4406 1	4533 "Parotitis phlegmonosa"
4407 1	4534 "Phlebitis suppurativa iliaca interna post endometritidem sept."
4408 2	4535 "Pneumonia duplex totalis"
4409 2	4536 "Sequelae emphysema"
4410 3	4537 "Shock post laparatomi"
4411 1	4538 "Thrombosis extrem. inf. utriusque"
4412 0	4539 "Tuberculosis laryngis et pulmonum"
4413 1	4540 "Tumor testis"
4414 1	4541 "Venerisk syge"
4415 1	4542 "Vulnus contusum"
4416 2	4543 "Abscessus perinaei (Abscessus perinæi)"
4417 1	4544 "Anaemia in senilitate"
4418 1	4545 "Apoplexia nervosa"
4419 1	4546 "Cancer genitalium"
4420 1	4547 "Cancer recti et abdominis"
4421 2	4548 "Carcinosis miliaris post cancer abdom."
4422 1	4549 "Colitis catarrhalis (Colitis cat.)"
4423 1	4550 "Congestio cerebri in delirio"
4424 1	4551 "Dræbt ved prøveskydning"
4425 1	4552 "Emollitio pontis"
4426 1	4553 "Encephalocele congenita"
4427 1	4554 Encephalomyelitis
4428 2	4555 Hoftebetændelse
4429 1	4556 "Kronisk hjerte- og leversygdom"
4430 1	4557 "Kræft i fødselsorganerne"
4431 1	4558 "Kræft i mave og lever"
4432 1	4559 "Peritonitis chronica tuberculosa"
4433 1	4560 "Peritonitis purulenta e perforatione"
4434 1	4561 "Pyarthrus humeri"
4435 1	4562 "Rachitis l.g. (Rachitis levi gradu)"
4436 1	4563 "Ruptura arteriae coronariae"
4437 1	4564 "Sarcoma nasi c. metastat. ad organ. abdominis"
4438 1	4565 "Sequelae pneumoniae"
4439 2	4566 "Spondylitis colli"
4440 1	4567 "Svækkelse efter cholerine"
4441 1	4568 "Tabes diarrhoica"
4442 1	4570 "Cancer intestinorum et peritonei"
4443 1	4571 "Cystis ovarii"
4444 1	4572 "Embolia cordis in puerperio"
4445 1	4573 "Emollitio medullae spinalis"
4446 3	4574 "Encephalitis diffusa"
4447 1	4575 "Endarteritis art. coronar."
4448 1	4576 Ernæringssygdom
4449 1	4577 Forfrysning
4450 1	4578 "Haemorrhagia cordis"
4451 1	4579 "Haemorrhagia hepatis"
4452 3	4580 "Hepatopathia chron."
4453 1	4581 "Hjerte- og nyrebetændelse"
4454 1	4582 Hjerteblødning
4455 1	4583 "Kronisk fremadskridende nervebetændelse"
4456 1	4584 "Lupus nasi et faucium"
4457 1	4585 "Morbus cordis in alcoholismo chron."
4458 0	4586 "Morbus valvul. cordis"
4459 1	4587 "Osteosarcoma cranii"
4460 1	4588 "Perforatio intestin. post operationem"
4461 1	4589 "Peritonitis cancrosa"
4462 1	4590 "Peritonitis diffusa supp. e appendicitide"
4463 1	4591 "Phthisis abdominalis"
4464 1	4592 "Pludselig død efter fødsel (moder)"
4465 2	4593 "Sarcoma glandul. sup."
4466 1	4594 "Septicaemia e calculo renal."
4467 1	4595 "Strictura cancrosa oesophagi"
4468 1	4596 "Strictura pylori"
